t,y
24984000.0,11.282
25020000.0,17.964
25056000.0,12.662
25092000.0,18.175
25128000.0,12.186
25164000.0,9.789
25200000.0,13.22
25236000.0,10.824
25272000.0,19.847
25308000.0,11.69
25344000.0,13.263
25380000.0,13.35
25416000.0,9.652
25452000.0,16.515
25488000.0,8.189
25524000.0,16.331
25560000.0,11.777
25596000.0,8.511
25632000.0,12.308
25668000.0,10.97
25704000.0,17.656
25740000.0,11.108
25776000.0,12.959
25812000.0,14.33
25848000.0,11.901
25884000.0,11.317
25920000.0,5.449
25956000.0,7.615
25992000.0,7.144
26028000.0,4.432
26064000.0,5.805
26100000.0,0.605
26136000.0,9.063
26172000.0,0.269
26208000.0,1.874
26244000.0,0.593
26280000.0,-3.128
26316000.0,6.497
26352000.0,5.391
26388000.0,10.375
26424000.0,11.216
26460000.0,10.151
26496000.0,10.304
26532000.0,7.965
26568000.0,11.796
26604000.0,5.912
26640000.0,7.068
26676000.0,7.855
26712000.0,7.863
26748000.0,8.219
26784000.0,4.843
26820000.0,9.2
26856000.0,5.964
26892000.0,4.118
26928000.0,6.867
26964000.0,5.899
27000000.0,7.472
27036000.0,1.89
27072000.0,3.094
27108000.0,3.742
27144000.0,-0.031
27180000.0,5.373
27216000.0,1.161
27252000.0,5.761
27288000.0,3.246
27324000.0,1.749
27360000.0,3.623
27396000.0,1.72
27432000.0,8.594
27468000.0,1.056
27504000.0,3.824
27540000.0,6.268
27576000.0,6.447
27612000.0,5.736
27648000.0,1.084
27684000.0,5.304
27720000.0,7.537
27756000.0,7.136
27792000.0,5.315
27828000.0,2.381
27864000.0,8.328
27900000.0,4.184
27936000.0,4.366
27972000.0,4.563
28008000.0,4.729
28044000.0,8.258
28080000.0,6.486
28116000.0,7.765
28152000.0,5.973
28188000.0,5.616
28224000.0,6.178
28260000.0,3.77
28296000.0,7.441
28332000.0,3.601
28368000.0,3.731
28404000.0,4.808
28440000.0,4.249
28476000.0,6.577
28512000.0,4.765
28548000.0,5.645
28584000.0,5.267
28620000.0,5.88
28656000.0,9.21
28692000.0,7.49
28728000.0,5.836
28764000.0,-1.56
28800000.0,0.03
28836000.0,2.933
28872000.0,2.142
28908000.0,3.219
28944000.0,1.524
28980000.0,2.03
29016000.0,2.441
29052000.0,-0.114
29088000.0,3.764
29124000.0,3.426
29160000.0,5.886
29196000.0,-1.214
29232000.0,-1.271
29268000.0,-0.941
29304000.0,-2.639
29340000.0,1.9
29376000.0,4.194
29412000.0,7.918
29448000.0,6.649
29484000.0,5.794
29520000.0,8.649
29556000.0,5.813
29592000.0,8.205
29628000.0,4.019
29664000.0,0.828
29700000.0,-0.077
29736000.0,-0.987
29772000.0,2.333
29808000.0,0.175
29844000.0,2.641
29880000.0,0.35
29916000.0,-1.956
29952000.0,-1.034
29988000.0,-0.003
30024000.0,2.48
30060000.0,1.423
30096000.0,2.954
30132000.0,3.432
30168000.0,2.673
30204000.0,5.563
30240000.0,3.799
30276000.0,7.148
30312000.0,6.934
30348000.0,6.931
30384000.0,2.823
30420000.0,3.209
30456000.0,7.347
30492000.0,4.625
30528000.0,4.254
30564000.0,5.689
30600000.0,6.109
30636000.0,4.636
30672000.0,1.724
30708000.0,2.686
30744000.0,3.385
30780000.0,5.174
30816000.0,5.179
30852000.0,4.847
30888000.0,6.363
30924000.0,4.471
30960000.0,3.47
30996000.0,3.389
31032000.0,2.482
31068000.0,3.503
31104000.0,3.033
31140000.0,3.033
